date_month,date_label,n_year,n_month,migrants_arrived,boats_arrived,migrants_per_boat,cumulative_migrants_arrived,cumulative_boats_arrived,migrants_per_boat_round
2022-07-01,July 2022,2022,7,3687,91,40.51648351648352,16434,457,41
2022-08-01,August 2022,2022,8,8631,192,44.953125,25065,649,45
2022-09-01,September 2022,2022,9,7964,180,44.24444444444445,33029,829,44
2022-10-01,October 2022,2022,10,6900,147,46.93877551020408,39929,976,47
2022-11-01,November 2022,2022,11,4082,92,44.369565217391305,44011,1068,44
2022-12-01,December 2022,2022,12,1744,42,41.523809523809526,45755,1110,42
2023-01-01,January 2023,2023,1,1180,29,40.689655172413794,1180,29,41
2023-02-01,February 2023,2023,2,1773,41,43.24390243902439,2953,70,43
2023-03-01,March 2023,2023,3,840,21,40,3793,91,40
2023-04-01,April 2023,2023,4,2153,51,42.21568627450981,5946,142,42
2023-05-01,May 2023,2023,5,1664,36,46.22222222222222,7610,178,46
2023-06-01,June 2023,2023,6,3823,78,49.01282051282051,11433,256,49
2023-07-01,July 2023,2023,7,3299,63,52.36507936507937,14732,319,52
2023-08-01,August 2023,2023,8,5369,102,52.63725490196079,20101,421,53
2023-09-01,September 2023,2023,9,4729,85,55.63529411764706,24830,506,56
2023-10-01,October 2023,2023,10,1869,40,46.725,26699,546,47
2023-11-01,November 2023,2023,11,1661,33,50.333333333333336,28360,579,50
2023-12-01,December 2023,2023,12,1077,23,46.82608695652174,29437,602,47
2024-01-01,January 2024,2024,1,1335,29,46.03448275862069,1335,29,46
2024-02-01,February 2024,2024,2,920,19,48.421052631578945,2255,48,48
2024-03-01,March 2024,2024,3,3180,66,48.18181818181818,5435,114,48
2024-04-01,April 2024,2024,4,2132,42,50.76190476190476,7567,156,51
2024-05-01,May 2024,2024,5,2881,58,49.672413793103445,10448,214,50
2024-06-01,June 2024,2024,6,3041,56,54.30357142857143,13489,270,54
2024-07-01,July 2024,2024,7,3414,58,58.86206896551724,16903,328,59
2024-08-01,August 2024,2024,8,4149,75,55.32,21052,403,55
2024-09-01,September 2024,2024,9,4192,76,55.1578947368421,25244,479,55
2024-10-01,October 2024,2024,10,5417,99,54.717171717171716,30661,578,55
2024-11-01,November 2024,2024,11,2901,54,53.72222222222222,33562,632,54
2024-12-01,December 2024,2024,12,3254,63,51.65079365079365,36816,695,52
2025-01-01,January 2025,2025,1,1098,20,54.9,1098,20,55
2025-02-01,February 2025,2025,2,958,19,50.421052631578945,2056,39,50
2025-03-01,March 2025,2025,3,4586,80,57.325,6642,119,57
2025-04-01,April 2025,2025,4,4432,80,55.4,11074,199,55
2025-05-01,May 2025,2025,5,3738,64,58.40625,14812,263,58
2025-06-01,June 2025,2025,6,5170,80,64.625,19982,343,65
2025-07-01,July 2025,2025,7,5454,88,61.97727272727273,25436,431,62
2025-08-01,August 2025,2025,8,3567,56,63.69642857142857,29003,487,64
2025-09-01,September 2025,2025,9,5084,72,70.61111111111111,34087,559,71
2025-10-01,October 2025,2025,10,2867,44,65.1590909090909,36954,603,65
2025-11-01,November 2025,2025,11,2338,33,70.84848484848484,39292,636,71
2025-12-01,December 2025,2025,12,,,,39292,636,
